engagement_field,chart_field,n,r,abs_r
pass_rate,ioi_mean_ms,10027,0.6559,0.6559
pass_rate,ioi_median_ms,10027,0.6215,0.6215
pass_rate,gap_peak_mass_total,10027,-0.6118,0.6118
pass_rate,density_mean,10027,-0.6067,0.6067
pass_rate,ioi_p95_ms,10027,0.6059,0.6059
pass_rate,events_per_sec,10027,-0.6042,0.6042
pass_rate,star_rating,10027,-0.6011,0.6011
pass_rate,ratio_peak_mass_total,10027,-0.5909,0.5909
pass_rate,total_events,10027,-0.5895,0.5895
pass_rate,density_peak,10027,-0.588,0.588
pass_rate,dominant_ioi_ms,10027,0.5577,0.5577
pass_rate,density_std,10027,-0.527,0.527
pass_rate,duration_s,10027,-0.4724,0.4724
pass_rate,ioi_p99_ms,10027,0.4647,0.4647
pass_rate,over_pspace_self,10027,-0.4591,0.4591
playcount,events_per_sec,10027,0.378,0.378
playcount,density_mean,10027,0.3757,0.3757
pass_rate,ratio_metronome_distance,10027,0.3515,0.3515
playcount,star_rating,10027,0.3433,0.3433
bpm_set,density_mean,10027,0.3347,0.3347
bpm_set,events_per_sec,10027,0.3294,0.3294
playcount,density_peak,10027,0.3269,0.3269
bpm_set,density_peak,10027,0.3205,0.3205
bpm_set,star_rating,10027,0.3174,0.3174
playcount,density_std,10027,0.303,0.303
pass_rate,estimated_bpm,10027,-0.2944,0.2944
bpm_set,density_std,10027,0.2852,0.2852
pass_rate,ioi_std_ms,10027,0.2755,0.2755
bpm_set,ioi_mean_ms,10027,-0.2704,0.2704
playcount,ratio_metronome_distance,10027,-0.2691,0.2691
pass_rate,gap_peak_falloff,10027,0.269,0.269
bpm_set,over_pspace_self,10027,0.2635,0.2635
bpm_set,estimated_bpm,10027,0.2616,0.2616
bpm_set,ioi_median_ms,10027,-0.2539,0.2539
bpm_set,ioi_p95_ms,10027,-0.2522,0.2522
bpm_set,dominant_ioi_ms,10027,-0.245,0.245
pass_rate,streak_event_fraction,10027,-0.2435,0.2435
passcount,events_per_sec,10027,0.2413,0.2413
pass_rate,ratio_peak_count,10027,0.241,0.241
pass_rate,ratio_peak_falloff,10027,0.24,0.24
playcount,over_pspace_self,10027,0.239,0.239
playcount,mean_streak_len,10027,0.2383,0.2383
passcount,density_mean,10027,0.2356,0.2356
