threshold,tolerance,precision,recall,f1,tp,fp,fn
0.0,0,0.003114,0.005801,0.004052,3796,1215387,650537
0.04,0,0.00312,0.0058,0.004057,3795,1212674,650538
0.08,0,0.003128,0.005798,0.004064,3794,1209180,650539
0.12,0,0.003137,0.005798,0.004071,3794,1205602,650539
0.16,0,0.003144,0.005791,0.004075,3789,1201386,650544
0.2,0,0.003154,0.005786,0.004083,3786,1196609,650547
0.24,0,0.003164,0.00578,0.00409,3782,1191420,650551
0.28,0,0.003169,0.00576,0.004089,3769,1185450,650564
0.32,0,0.003187,0.005757,0.004103,3767,1178239,650566
0.36,0,0.003205,0.005745,0.004114,3759,1169177,650574
0.4,0,0.003226,0.005729,0.004127,3749,1158517,650584
0.44,0,0.003252,0.005716,0.004146,3740,1146275,650593
0.48,0,0.003286,0.005705,0.00417,3733,1132188,650600
0.52,0,0.003308,0.005661,0.004175,3704,1116172,650629
0.56,0,0.003339,0.005619,0.004189,3677,1097405,650656
0.6,0,0.003362,0.00554,0.004185,3625,1074523,650708
0.64,0,0.003401,0.005459,0.004191,3572,1046692,650761
0.68,0,0.003442,0.005352,0.00419,3502,1013827,650831
0.72,0,0.003526,0.005263,0.004223,3444,973269,650889
0.76,0,0.003585,0.005071,0.004201,3318,922108,651015
0.8,0,0.003627,0.004727,0.004105,3093,849680,651240
0.84,0,0.00365,0.004187,0.003901,2740,747865,651593
0.88,0,0.003624,0.003377,0.003496,2210,607613,652123
0.92,0,0.003232,0.0021,0.002546,1374,423756,652959
0.96,0,0.002861,0.000972,0.001451,636,221637,653697
1.0,0,0.002451,0.000223,0.000409,146,59417,654187
1.04,0,0.002789,2.1e-05,4.2e-05,14,5006,654319
1.08,0,0.008651,8e-06,1.5e-05,5,573,654328
1.12,0,0.044944,6e-06,1.2e-05,4,85,654329
1.16,0,0.038462,2e-06,3e-06,1,25,654332
1.2,0,0.071429,2e-06,3e-06,1,13,654332
1.24,0,0.0,0.0,0.0,0,12,654333
1.28,0,0.0,0.0,0.0,0,9,654333
1.32,0,0.0,0.0,0.0,0,5,654333
1.36,0,0.0,0.0,0.0,0,4,654333
1.4,0,0.0,0.0,0.0,0,3,654333
1.44,0,0.0,0.0,0.0,0,3,654333
1.48,0,0.0,0.0,0.0,0,3,654333
1.52,0,0.0,0.0,0.0,0,3,654333
1.56,0,0.0,0.0,0.0,0,3,654333
1.6,0,0.0,0.0,0.0,0,3,654333
1.64,0,0.0,0.0,0.0,0,2,654333
1.68,0,0.0,0.0,0.0,0,2,654333
1.72,0,0.0,0.0,0.0,0,2,654333
1.76,0,0.0,0.0,0.0,0,2,654333
1.8,0,0.0,0.0,0.0,0,2,654333
1.84,0,0.0,0.0,0.0,0,2,654333
1.88,0,0.0,0.0,0.0,0,2,654333
1.92,0,0.0,0.0,0.0,0,2,654333
1.96,0,0.0,0.0,0.0,0,2,654333
2.0,0,0.0,0.0,0.0,0,2,654333
0.0,1,0.010025,0.018679,0.013047,12222,1206961,642111
0.04,1,0.010042,0.018669,0.01306,12216,1204253,642117
0.08,1,0.010058,0.018645,0.013067,12200,1200774,642133
0.12,1,0.010084,0.018637,0.013087,12195,1197201,642138
0.16,1,0.010112,0.018625,0.013108,12187,1192988,642146
0.2,1,0.010142,0.018607,0.013129,12175,1188220,642158
0.24,1,0.010178,0.018591,0.013155,12165,1183037,642168
0.28,1,0.010206,0.018549,0.013167,12137,1177082,642196
0.32,1,0.01025,0.018515,0.013195,12115,1169891,642218
0.36,1,0.010301,0.018466,0.013225,12083,1160853,642250
0.4,1,0.010356,0.018394,0.013251,12036,1150230,642297
0.44,1,0.010425,0.018322,0.013289,11989,1138026,642344
0.48,1,0.0105,0.018228,0.013324,11927,1123994,642406
0.52,1,0.010581,0.018109,0.013357,11849,1108027,642484
0.56,1,0.010689,0.017988,0.01341,11770,1089312,642563
0.6,1,0.010801,0.017797,0.013443,11645,1066503,642688
0.64,1,0.01094,0.01756,0.013481,11490,1038774,642843
0.68,1,0.011081,0.017228,0.013487,11273,1006056,643060
0.72,1,0.011311,0.016884,0.013547,11048,965665,643285
0.76,1,0.01142,0.016151,0.013379,10568,914858,643765
0.8,1,0.011558,0.015063,0.013079,9856,842917,644477
0.84,1,0.011713,0.013437,0.012516,8792,741813,645541
0.88,1,0.011656,0.010863,0.011245,7108,602715,647225
0.92,1,0.010674,0.006935,0.008408,4538,420592,649795
0.96,1,0.008957,0.003043,0.004543,1991,220282,652342
1.0,1,0.006346,0.000578,0.001059,378,59185,653955
1.04,1,0.006773,5.2e-05,0.000103,34,4986,654299
1.08,1,0.013841,1.2e-05,2.4e-05,8,570,654325
1.12,1,0.044944,6e-06,1.2e-05,4,85,654329
1.16,1,0.038462,2e-06,3e-06,1,25,654332
1.2,1,0.071429,2e-06,3e-06,1,13,654332
1.24,1,0.0,0.0,0.0,0,12,654333
1.28,1,0.0,0.0,0.0,0,9,654333
1.32,1,0.0,0.0,0.0,0,5,654333
1.36,1,0.0,0.0,0.0,0,4,654333
1.4,1,0.0,0.0,0.0,0,3,654333
1.44,1,0.0,0.0,0.0,0,3,654333
1.48,1,0.0,0.0,0.0,0,3,654333
1.52,1,0.0,0.0,0.0,0,3,654333
1.56,1,0.0,0.0,0.0,0,3,654333
1.6,1,0.0,0.0,0.0,0,3,654333
1.64,1,0.0,0.0,0.0,0,2,654333
1.68,1,0.0,0.0,0.0,0,2,654333
1.72,1,0.0,0.0,0.0,0,2,654333
1.76,1,0.0,0.0,0.0,0,2,654333
1.8,1,0.0,0.0,0.0,0,2,654333
1.84,1,0.0,0.0,0.0,0,2,654333
1.88,1,0.0,0.0,0.0,0,2,654333
1.92,1,0.0,0.0,0.0,0,2,654333
1.96,1,0.0,0.0,0.0,0,2,654333
2.0,1,0.0,0.0,0.0,0,2,654333
0.0,2,0.019766,0.036828,0.025725,24098,1195085,630235
0.04,2,0.019794,0.036799,0.025742,24079,1192390,630254
0.08,2,0.019826,0.036753,0.025758,24049,1188925,630284
0.12,2,0.019869,0.036723,0.025786,24029,1185367,630304
0.16,2,0.019919,0.036688,0.02582,24006,1181169,630327
0.2,2,0.019974,0.036643,0.025855,23977,1176418,630356
0.24,2,0.020043,0.03661,0.025904,23955,1171247,630378
0.28,2,0.020104,0.036538,0.025937,23908,1165311,630425
0.32,2,0.020198,0.036486,0.026002,23874,1158132,630459
0.36,2,0.020284,0.036361,0.026041,23792,1149144,630541
0.4,2,0.020406,0.036246,0.026111,23717,1138549,630616
