threshold,tolerance,precision,recall,f1,tp,fp,fn
0.0,0,0.004149,0.00762,0.005373,4986,1196675,649347
0.04,0,0.004158,0.007612,0.005379,4981,1192865,649352
0.08,0,0.004168,0.007602,0.005384,4974,1188531,649359
0.12,0,0.004181,0.007592,0.005392,4968,1183341,649365
0.16,0,0.004195,0.00758,0.005401,4960,1177525,649373
0.2,0,0.004209,0.007565,0.005408,4950,1171237,649383
0.24,0,0.004218,0.007533,0.005408,4929,1163649,649404
0.28,0,0.00424,0.007518,0.005422,4919,1155324,649414
0.32,0,0.004254,0.007478,0.005423,4893,1145354,649440
0.36,0,0.004279,0.007453,0.005437,4877,1134756,649456
0.4,0,0.004308,0.007421,0.005451,4856,1122438,649477
0.44,0,0.004341,0.007383,0.005467,4831,1108141,649502
0.48,0,0.004384,0.007348,0.005491,4808,1091973,649525
0.52,0,0.004416,0.007275,0.005496,4760,1073107,649573
0.56,0,0.004466,0.007206,0.005514,4715,1051144,649618
0.6,0,0.00451,0.007103,0.005517,4648,1025873,649685
0.64,0,0.004573,0.006981,0.005526,4568,994369,649765
0.68,0,0.004655,0.006834,0.005538,4472,956268,649861
0.72,0,0.004754,0.006622,0.005535,4333,907031,650000
0.76,0,0.004823,0.006257,0.005447,4094,844778,650239
0.8,0,0.004908,0.005755,0.005298,3766,763499,650567
0.84,0,0.005036,0.005068,0.005052,3316,655097,651017
0.88,0,0.00506,0.00399,0.004462,2611,513431,651722
0.92,0,0.004951,0.0026,0.003409,1701,341832,652632
0.96,0,0.004746,0.001236,0.001962,809,169660,653524
1.0,0,0.004656,0.00035,0.000651,229,48958,654104
1.04,0,0.00719,8.4e-05,0.000166,55,7594,654278
1.08,0,0.003372,8e-06,1.5e-05,5,1478,654328
1.12,0,0.002242,2e-06,3e-06,1,445,654332
1.16,0,0.006667,2e-06,3e-06,1,149,654332
1.2,0,0.012048,2e-06,3e-06,1,82,654332
1.24,0,0.016129,2e-06,3e-06,1,61,654332
1.28,0,0.0,0.0,0.0,0,40,654333
1.32,0,0.0,0.0,0.0,0,29,654333
1.36,0,0.0,0.0,0.0,0,27,654333
1.4,0,0.0,0.0,0.0,0,25,654333
1.44,0,0.0,0.0,0.0,0,19,654333
1.48,0,0.0,0.0,0.0,0,19,654333
1.52,0,0.0,0.0,0.0,0,18,654333
1.56,0,0.0,0.0,0.0,0,17,654333
1.6,0,0.0,0.0,0.0,0,17,654333
1.64,0,0.0,0.0,0.0,0,17,654333
1.68,0,0.0,0.0,0.0,0,17,654333
1.72,0,0.0,0.0,0.0,0,14,654333
1.76,0,0.0,0.0,0.0,0,14,654333
1.8,0,0.0,0.0,0.0,0,14,654333
1.84,0,0.0,0.0,0.0,0,14,654333
1.88,0,0.0,0.0,0.0,0,14,654333
1.92,0,0.0,0.0,0.0,0,14,654333
1.96,0,0.0,0.0,0.0,0,14,654333
2.0,0,0.0,0.0,0.0,0,14,654333
0.0,1,0.013521,0.024831,0.017509,16248,1185413,638085
0.04,1,0.013552,0.024808,0.017529,16233,1181613,638100
0.08,1,0.013586,0.024781,0.01755,16215,1177290,638118
0.12,1,0.01363,0.024753,0.01758,16197,1172112,638136
0.16,1,0.013667,0.024698,0.017597,16161,1166324,638172
0.2,1,0.01371,0.024645,0.017619,16126,1160061,638207
0.24,1,0.013768,0.024588,0.017652,16089,1152489,638244
0.28,1,0.013838,0.024536,0.017696,16055,1144188,638278
0.32,1,0.0139,0.024436,0.01772,15989,1134258,638344
0.36,1,0.01398,0.024348,0.017762,15932,1123701,638401
0.4,1,0.01407,0.02424,0.017805,15861,1111433,638472
0.44,1,0.014184,0.024125,0.017864,15786,1097186,638547
0.48,1,0.014316,0.023995,0.017933,15701,1081080,638632
0.52,1,0.014435,0.023778,0.017964,15559,1062308,638774
0.56,1,0.014576,0.02352,0.017998,15390,1040469,638943
0.6,1,0.014732,0.023202,0.018022,15182,1015339,639151
0.64,1,0.01498,0.022869,0.018102,14964,983973,639369
0.68,1,0.015216,0.022342,0.018103,14619,946121,639714
0.72,1,0.015481,0.021562,0.018023,14109,897255,640224
0.76,1,0.0157,0.020367,0.017731,13327,835545,641006
0.8,1,0.015863,0.018601,0.017123,12171,755094,642162
0.84,1,0.016156,0.016256,0.016206,10637,647776,643696
0.88,1,0.016382,0.01292,0.014447,8454,507588,645879
0.92,1,0.016243,0.008528,0.011184,5580,337953,648753
0.96,1,0.014847,0.003868,0.006137,2531,167938,651802
1.0,1,0.014943,0.001123,0.002089,735,48452,653598
1.04,1,0.025755,0.000301,0.000595,197,7452,654136
1.08,1,0.058665,0.000133,0.000265,87,1396,654246
1.12,1,0.05157,3.5e-05,7e-05,23,423,654310
1.16,1,0.106667,2.4e-05,4.9e-05,16,134,654317
1.2,1,0.120482,1.5e-05,3.1e-05,10,73,654323
1.24,1,0.16129,1.5e-05,3.1e-05,10,52,654323
1.28,1,0.1,6e-06,1.2e-05,4,36,654329
1.32,1,0.034483,2e-06,3e-06,1,28,654332
1.36,1,0.037037,2e-06,3e-06,1,26,654332
1.4,1,0.04,2e-06,3e-06,1,24,654332
1.44,1,0.052632,2e-06,3e-06,1,18,654332
1.48,1,0.052632,2e-06,3e-06,1,18,654332
1.52,1,0.055556,2e-06,3e-06,1,17,654332
1.56,1,0.058824,2e-06,3e-06,1,16,654332
1.6,1,0.058824,2e-06,3e-06,1,16,654332
1.64,1,0.058824,2e-06,3e-06,1,16,654332
1.68,1,0.058824,2e-06,3e-06,1,16,654332
1.72,1,0.071429,2e-06,3e-06,1,13,654332
1.76,1,0.071429,2e-06,3e-06,1,13,654332
1.8,1,0.071429,2e-06,3e-06,1,13,654332
1.84,1,0.071429,2e-06,3e-06,1,13,654332
1.88,1,0.071429,2e-06,3e-06,1,13,654332
1.92,1,0.071429,2e-06,3e-06,1,13,654332
1.96,1,0.071429,2e-06,3e-06,1,13,654332
2.0,1,0.071429,2e-06,3e-06,1,13,654332
0.0,2,0.026837,0.049285,0.034751,32249,1169412,622084
0.04,2,0.026902,0.049247,0.034796,32224,1165622,622109
0.08,2,0.026964,0.049183,0.034832,32182,1161323,622151
0.12,2,0.027049,0.049123,0.034888,32143,1156166,622190
0.16,2,0.027131,0.04903,0.034932,32082,1150403,622251
0.2,2,0.027229,0.048944,0.034991,32026,1144161,622307
0.24,2,0.02735,0.048845,0.035066,31961,1136617,622372
0.28,2,0.02748,0.048726,0.035141,31883,1128360,622450
0.32,2,0.027626,0.048564,0.035218,31777,1118470,622556
0.36,2,0.027793,0.048407,0.035312,31674,1107959,622659
0.4,2,0.027985,0.048212,0.035414,31547,1095747,622786
0.44,2,0.028208,0.04798,0.035529,31395,1081577,622938
0.48,2,0.028453,0.047693,0.035642,31207,1065574,623126
0.52,2,0.028704,0.047283,0.035722,30939,1046928,623394
0.56,2,0.029003,0.0468,0.035812,30623,1025236,623710
0.6,2,0.029323,0.046181,0.03587,30218,1000303,624115
0.64,2,0.029785,0.045471,0.035993,29753,969184,624580
0.68,2,0.030253,0.044419,0.035992,29065,931675,625268
0.72,2,0.030752,0.042831,0.0358,28026,883338,626307
0.76,2,0.031298,0.040603,0.035348,26568,822304,627765
0.8,2,0.031631,0.03709,0.034143,24269,742996,630064
0.84,2,0.032241,0.032442,0.032341,21228,637185,633105
0.88,2,0.032573,0.025689,0.028724,16809,499233,637524
0.92,2,0.032748,0.017193,0.022548,11250,332283,643083
0.96,2,0.03051,0.007949,0.012612,5201,165268,649132
1.0,2,0.032997,0.00248,0.004614,1623,47564,652710
1.04,2,0.052294,0.000611,0.001208,400,7249,653933
1.08,2,0.093729,0.000212,0.000424,139,1344,654194
1.12,2,0.089686,6.1e-05,0.000122,40,406,654293
1.16,2,0.133333,3.1e-05,6.1e-05,20,130,654313
1.2,2,0.168675,2.1e-05,4.3e-05,14,69,654319
1.24,2,0.225806,2.1e-05,4.3e-05,14,48,654319
1.28,2,0.15,9e-06,1.8e-05,6,34,654327
1.32,2,0.034483,2e-06,3e-06,1,28,654332
1.36,2,0.037037,2e-06,3e-06,1,26,654332
1.4,2,0.04,2e-06,3e-06,1,24,654332
1.44,2,0.052632,2e-06,3e-06,1,18,654332
1.48,2,0.052632,2e-06,3e-06,1,18,654332
1.52,2,0.055556,2e-06,3e-06,1,17,654332
1.56,2,0.058824,2e-06,3e-06,1,16,654332
1.6,2,0.058824,2e-06,3e-06,1,16,654332
1.64,2,0.058824,2e-06,3e-06,1,16,654332
1.68,2,0.058824,2e-06,3e-06,1,16,654332
1.72,2,0.071429,2e-06,3e-06,1,13,654332
1.76,2,0.071429,2e-06,3e-06,1,13,654332
1.8,2,0.071429,2e-06,3e-06,1,13,654332
1.84,2,0.071429,2e-06,3e-06,1,13,654332
1.88,2,0.071429,2e-06,3e-06,1,13,654332
1.92,2,0.071429,2e-06,3e-06,1,13,654332
1.96,2,0.071429,2e-06,3e-06,1,13,654332
2.0,2,0.071429,2e-06,3e-06,1,13,654332
0.0,5,0.152744,0.280509,0.197787,183546,1018115,470787
0.04,5,0.153041,0.280163,0.197951,183320,1014526,471013
0.08,5,0.153389,0.279783,0.198146,183071,1010434,471262
0.12,5,0.153828,0.279361,0.198405,182795,1005514,471538
0.16,5,0.154394,0.279015,0.198788,182569,999916,471764
0.2,5,0.154965,0.278555,0.199143,182268,993919,472065
0.24,5,0.155722,0.278105,0.199651,181973,986605,472360
0.28,5,0.156525,0.277545,0.200165,181607,978636,472726
0.32,5,0.15746,0.276798,0.200731,181118,969129,473215
0.36,5,0.15845,0.275968,0.201314,180575,959058,473758
0.4,5,0.159554,0.274881,0.20191,179864,947430,474469
0.44,5,0.160807,0.273521,0.202539,178974,933998,475359
0.48,5,0.162227,0.271921,0.203216,177927,918854,476406
0.52,5,0.163741,0.269727,0.203777,176491,901376,477842
0.56,5,0.165531,0.267107,0.204395,174777,881082,479556
0.6,5,0.167437,0.263699,0.204821,172547,857974,481786
0.64,5,0.169757,0.25916,0.205141,169577,829360,484756
0.68,5,0.172149,0.252761,0.204808,165390,795350,488943
0.72,5,0.17493,0.243645,0.203647,159425,751939,494908
0.76,5,0.178366,0.231396,0.20145,151410,697462,502923
0.8,5,0.181643,0.212992,0.196072,139368,627897,514965
0.84,5,0.184128,0.185276,0.1847,121232,537181,533101
0.88,5,0.185016,0.145913,0.163155,95476,420566,558857
0.92,5,0.185202,0.097233,0.127518,63623,279910,590710
0.96,5,0.178924,0.046614,0.07396,30501,139968,623832
1.0,5,0.190477,0.014318,0.026635,9369,39818,644964
1.04,5,0.235848,0.002757,0.00545,1804,5845,652529
1.08,5,0.298045,0.000675,0.001348,442,1041,653891
1.12,5,0.286996,0.000196,0.000391,128,318,654205
1.16,5,0.186667,4.3e-05,8.6e-05,28,122,654305
1.2,5,0.26506,3.4e-05,6.7e-05,22,61,654311
1.24,5,0.306452,2.9e-05,5.8e-05,19,43,654314
1.28,5,0.2,1.2e-05,2.4e-05,8,32,654325
1.32,5,0.103448,5e-06,9e-06,3,26,654330
1.36,5,0.111111,5e-06,9e-06,3,24,654330
1.4,5,0.12,5e-06,9e-06,3,22,654330
1.44,5,0.157895,5e-06,9e-06,3,16,654330
1.48,5,0.157895,5e-06,9e-06,3,16,654330
1.52,5,0.166667,5e-06,9e-06,3,15,654330
1.56,5,0.176471,5e-06,9e-06,3,14,654330
1.6,5,0.176471,5e-06,9e-06,3,14,654330
1.64,5,0.176471,5e-06,9e-06,3,14,654330
1.68,5,0.176471,5e-06,9e-06,3,14,654330
1.72,5,0.214286,5e-06,9e-06,3,11,654330
1.76,5,0.214286,5e-06,9e-06,3,11,654330
1.8,5,0.214286,5e-06,9e-06,3,11,654330
1.84,5,0.214286,5e-06,9e-06,3,11,654330
1.88,5,0.214286,5e-06,9e-06,3,11,654330
1.92,5,0.214286,5e-06,9e-06,3,11,654330
1.96,5,0.214286,5e-06,9e-06,3,11,654330
2.0,5,0.214286,5e-06,9e-06,3,11,654330
0.0,10,0.464723,0.853449,0.601769,558440,643221,95893
0.04,10,0.465671,0.852474,0.60232,557802,640044,96531
0.08,10,0.46678,0.851407,0.602979,557104,636401,97229
0.12,10,0.468149,0.850188,0.603813,556306,632003,98027
0.16,10,0.469754,0.848921,0.604825,555477,627008,98856
0.2,10,0.471444,0.847437,0.605845,554506,621681,99827
0.24,10,0.473622,0.845845,0.607231,553464,615114,100869
0.28,10,0.475879,0.843813,0.608555,552135,608108,102198
0.32,10,0.478695,0.841494,0.610244,550617,599630,103716
0.36,10,0.481629,0.838839,0.611918,548880,590753,105453
0.4,10,0.484929,0.835442,0.61366,546657,580637,107676
0.44,10,0.48862,0.831106,0.615423,543820,569152,110513
0.48,10,0.492889,0.826171,0.617425,540591,556190,113742
0.52,10,0.497933,0.820234,0.619681,536706,541161,117627
0.56,10,0.503514,0.812491,0.621731,531640,524219,122693
0.6,10,0.509586,0.802556,0.623364,525139,505382,129194
0.64,10,0.517156,0.789515,0.624951,516606,482331,137727
0.68,10,0.525658,0.77181,0.625385,505021,455719,149312
0.72,10,0.536283,0.746942,0.624321,488749,422615,165584
0.76,10,0.548983,0.7122,0.62003,466016,382856,188317
0.8,10,0.564341,0.661741,0.609172,432999,334266,221334
0.84,10,0.585487,0.589137,0.587306,385492,272921,268841
0.88,10,0.611266,0.482077,0.539039,315439,200603,338894
0.92,10,0.644005,0.338111,0.44342,221237,122296,433096
0.96,10,0.679126,0.176928,0.280722,115770,54699,538563
1.0,10,0.719174,0.054061,0.100563,35374,13813,618959
1.04,10,0.750948,0.008778,0.017354,5744,1905,648589
