threshold,tolerance,precision,recall,f1,tp,fp,fn
0.0,0,0.028495,0.133536,0.046968,87377,2979018,566956
0.04,0,0.031194,0.131436,0.050422,86003,2671004,568330
0.08,0,0.037643,0.125818,0.057949,82327,2104716,572006
0.12,0,0.045901,0.118814,0.06622,77744,1615971,576589
0.16,0,0.054667,0.112259,0.073528,73455,1270221,580878
0.2,0,0.062866,0.104973,0.078637,68687,1023914,585646
0.24,0,0.071143,0.097877,0.082395,64044,836177,590289
0.28,0,0.079295,0.091013,0.084751,59553,691475,594780
0.32,0,0.087174,0.084524,0.085829,55307,579137,599026
0.36,0,0.094457,0.078174,0.085548,51152,490385,603181
0.4,0,0.101381,0.072307,0.084411,47313,419370,607020
0.44,0,0.107693,0.066651,0.082341,43612,361354,610721
0.48,0,0.113528,0.061238,0.07956,40070,312884,614263
0.52,0,0.119211,0.056494,0.076659,36966,273124,617367
0.56,0,0.123638,0.051729,0.07294,33848,239920,620485
0.6,0,0.127758,0.047555,0.069311,31117,212445,623216
0.64,0,0.131615,0.043724,0.065641,28610,188766,625723
0.68,0,0.135219,0.040409,0.062223,26441,169101,627892
0.72,0,0.137822,0.037191,0.058575,24335,152233,629998
0.76,0,0.139619,0.03412,0.054839,22326,137581,632007
0.8,0,0.140444,0.031268,0.051149,20460,125221,633873
0.84,0,0.14126,0.028761,0.047791,18819,114403,635514
0.88,0,0.143032,0.026723,0.045033,17486,104766,636847
0.92,0,0.142354,0.024546,0.041871,16061,96763,638272
0.96,0,0.142198,0.02266,0.03909,14827,89443,639506
1.0,0,0.141317,0.020827,0.036304,13628,82808,640705
1.04,0,0.142012,0.01936,0.034075,12668,76536,641665
1.08,0,0.141594,0.017895,0.031774,11709,70985,642624
1.12,0,0.141814,0.016686,0.029858,10918,66070,643415
1.16,0,0.140544,0.015457,0.027851,10114,61849,644219
1.2,0,0.14035,0.014456,0.026212,9459,57937,644874
1.24,0,0.139478,0.013409,0.024466,8774,54132,645559
1.28,0,0.13836,0.012439,0.022825,8139,50686,646194
1.32,0,0.1361,0.011468,0.021154,7504,47632,646829
1.36,0,0.13437,0.010643,0.019724,6964,44863,647369
1.4,0,0.134204,0.01003,0.018665,6563,42340,647770
1.44,0,0.133838,0.009399,0.017564,6150,39801,648183
1.48,0,0.134509,0.008896,0.016688,5821,37455,648512
1.52,0,0.132717,0.008295,0.015615,5428,35471,648905
1.56,0,0.130634,0.007738,0.01461,5063,33694,649270
1.6,0,0.129016,0.007241,0.013712,4738,31986,649595
1.64,0,0.128295,0.006828,0.012967,4468,30358,649865
1.68,0,0.12642,0.006376,0.01214,4172,28829,650161
1.72,0,0.126804,0.006098,0.011636,3990,27476,650343
1.76,0,0.125025,0.005731,0.01096,3750,26244,650583
1.8,0,0.125135,0.005471,0.010484,3580,25029,650753
1.84,0,0.123938,0.00517,0.009926,3383,23913,650950
1.88,0,0.124332,0.004939,0.009501,3232,22763,651101
1.92,0,0.124517,0.004725,0.009105,3092,21740,651241
1.96,0,0.124492,0.004495,0.008676,2941,20683,651392
2.0,0,0.123616,0.00425,0.008218,2781,19716,651552
0.0,1,0.087737,0.411162,0.144615,269037,2797358,385296
0.04,1,0.096008,0.404528,0.155186,264696,2492311,389637
0.08,1,0.11575,0.386884,0.178189,253151,1933892,401182
0.12,1,0.140759,0.36435,0.203067,238406,1455309,415927
0.16,1,0.166918,0.342767,0.224507,224284,1119392,430049
0.2,1,0.191279,0.319397,0.239267,208992,883609,445341
0.24,1,0.215236,0.296118,0.249281,193760,706461,460573
0.28,1,0.238233,0.273439,0.254625,178920,572108,475413
0.32,1,0.258842,0.250975,0.254848,164221,470223,490112
0.36,1,0.277658,0.229794,0.251469,150362,391175,503971
0.4,1,0.294603,0.210116,0.245288,137486,329197,516847
0.44,1,0.309206,0.191367,0.236417,125218,279748,529115
0.48,1,0.323269,0.174375,0.226547,114099,238855,540234
0.52,1,0.335525,0.159006,0.215762,104043,206047,550290
0.56,1,0.345552,0.144576,0.203859,94601,179167,559732
0.6,1,0.353852,0.131714,0.191971,86185,157377,568148
0.64,1,0.363361,0.120712,0.181221,78986,138390,575347
0.68,1,0.371051,0.110885,0.170745,72556,122986,581777
0.72,1,0.376286,0.101539,0.159923,66440,110128,587893
0.76,1,0.381816,0.093309,0.149968,61055,98852,593278
0.8,1,0.385555,0.08584,0.140418,56168,89513,598165
0.84,1,0.388299,0.079058,0.131369,51730,81492,602603
0.88,1,0.391249,0.073099,0.123183,47831,74421,606502
0.92,1,0.392549,0.067686,0.115463,44289,68535,610044
0.96,1,0.393574,0.062717,0.108194,41038,63232,613295
1.0,1,0.394033,0.058073,0.101227,37999,58437,616334
1.04,1,0.394747,0.053815,0.094718,35213,53991,619120
1.08,1,0.394829,0.049898,0.088599,32650,50044,621683
1.12,1,0.396737,0.04668,0.083531,30544,46444,623789
1.16,1,0.39694,0.043655,0.078659,28565,43398,625768
1.2,1,0.39535,0.040721,0.073837,26645,40751,627688
1.24,1,0.396004,0.038071,0.069464,24911,37995,629422
1.28,1,0.395274,0.035535,0.065209,23252,35573,631081
1.32,1,0.393862,0.033188,0.061218,21716,33420,632617
1.36,1,0.393463,0.031165,0.057755,20392,31435,633941
1.4,1,0.393882,0.029438,0.054781,19262,29641,635071
1.44,1,0.391874,0.02752,0.051428,18007,27944,636326
1.48,1,0.391441,0.025889,0.048566,16940,26336,637393
1.52,1,0.391232,0.024454,0.046031,16001,24898,638332
1.56,1,0.389994,0.0231,0.043616,15115,23642,639218
1.6,1,0.3895,0.02186,0.041397,14304,22420,640029
1.64,1,0.389048,0.020707,0.03932,13549,21277,640784
1.68,1,0.388655,0.019602,0.037321,12826,20175,641507
1.72,1,0.389087,0.018711,0.035704,12243,19223,642090
1.76,1,0.386111,0.017699,0.033846,11581,18413,642752
1.8,1,0.385648,0.016861,0.03231,11033,17576,643300
1.84,1,0.385514,0.016082,0.030876,10523,16773,643810
