threshold,tolerance,precision,recall,f1,tp,fp,fn
0.0,0,0.023249,0.095156,0.037369,62264,2615821,592069
0.04,0,0.024294,0.094623,0.038662,61915,2486625,592418
0.08,0,0.026796,0.093,0.041604,60853,2210132,593480
0.12,0,0.031126,0.090105,0.046269,58959,1835218,595374
0.16,0,0.036914,0.08662,0.051767,56678,1478725,597655
0.2,0,0.043401,0.082949,0.056985,54276,1196306,600057
0.24,0,0.049919,0.07971,0.061391,52157,992672,602176
0.28,0,0.056128,0.076615,0.06479,50132,843048,604201
0.32,0,0.062043,0.073657,0.067353,48196,728624,606137
0.36,0,0.067489,0.070334,0.068882,46022,635898,608311
0.4,0,0.072782,0.066665,0.069589,43621,555719,610712
0.44,0,0.078369,0.063359,0.070069,41458,487552,612875
0.48,0,0.083622,0.05973,0.069685,39083,428293,615250
0.52,0,0.089525,0.05634,0.069157,36865,374921,617468
0.56,0,0.09523,0.052753,0.067895,34518,327950,619815
0.6,0,0.101935,0.049533,0.066669,32411,285546,621922
0.64,0,0.108397,0.046041,0.06463,30126,247798,624207
0.68,0,0.115096,0.042656,0.062243,27911,214590,626422
0.72,0,0.121996,0.039462,0.059634,25821,185834,628512
0.76,0,0.128902,0.036324,0.056677,23768,160620,630565
0.8,0,0.136563,0.033475,0.05377,21904,138491,632429
0.84,0,0.144259,0.030922,0.050927,20233,120022,634100
0.88,0,0.150381,0.028169,0.04745,18432,104137,635901
0.92,0,0.157883,0.025805,0.04436,16885,90061,637448
0.96,0,0.164626,0.023483,0.041104,15366,77973,638967
1.0,0,0.169827,0.021212,0.037714,13880,67850,640453
1.04,0,0.177222,0.019446,0.035046,12724,59073,641609
1.08,0,0.182824,0.01752,0.031976,11464,51241,642869
1.12,0,0.18748,0.015822,0.029182,10353,44869,643980
1.16,0,0.190311,0.014156,0.026353,9263,39410,645070
1.2,0,0.191362,0.012614,0.023669,8254,34879,646079
1.24,0,0.192358,0.011218,0.021199,7340,30818,646993
1.28,0,0.192698,0.009993,0.019001,6539,27395,647794
1.32,0,0.192326,0.00887,0.016958,5804,24374,648529
1.36,0,0.190184,0.007852,0.015082,5138,21878,649195
1.4,0,0.186779,0.006957,0.013414,4552,19819,649781
1.44,0,0.184437,0.006223,0.01204,4072,18006,650261
1.48,0,0.181205,0.005543,0.010757,3627,16389,650706
1.52,0,0.178999,0.005002,0.009732,3273,15012,651060
1.56,0,0.176671,0.004525,0.008824,2961,13799,651372
1.6,0,0.171322,0.004059,0.00793,2656,12847,651677
1.64,0,0.166912,0.003646,0.007137,2386,11909,651947
1.68,0,0.162489,0.003249,0.006371,2126,10958,652207
1.72,0,0.159414,0.002945,0.005783,1927,10161,652406
1.76,0,0.15151,0.002569,0.005052,1681,9414,652652
1.8,0,0.14832,0.002347,0.004622,1536,8820,652797
1.84,0,0.142679,0.002094,0.004127,1370,8232,652963
1.88,0,0.140078,0.001926,0.003799,1260,7735,653073
1.92,0,0.137427,0.001768,0.003492,1157,7262,653176
1.96,0,0.134302,0.001625,0.00321,1063,6852,653270
2.0,0,0.127599,0.001444,0.002856,945,6461,653388
0.0,1,0.077657,0.31784,0.124818,207973,2470112,446360
0.04,1,0.081155,0.31609,0.129152,206828,2341712,447505
0.08,1,0.089592,0.310944,0.139104,203461,2067524,450872
0.12,1,0.104226,0.301715,0.154931,197422,1696755,456911
0.16,1,0.123654,0.290157,0.173408,189859,1345544,464474
0.2,1,0.145633,0.278338,0.191217,182126,1068456,472207
0.24,1,0.167546,0.267535,0.206051,175057,869772,479276
0.28,1,0.188075,0.256727,0.217103,167985,725195,486348
0.32,1,0.207039,0.245795,0.224759,160832,615988,493501
0.36,1,0.224507,0.233973,0.229142,153096,528824,501237
0.4,1,0.241482,0.221187,0.23089,144730,454610,509603
0.44,1,0.258468,0.208964,0.231094,136732,392278,517601
0.48,1,0.274653,0.196178,0.228876,128366,339010,525967
0.52,1,0.290695,0.18294,0.22456,119704,292082,534629
0.56,1,0.306278,0.169663,0.218363,111016,251452,543317
0.6,1,0.322166,0.156549,0.210709,102435,215522,551898
0.64,1,0.337707,0.143439,0.201354,93857,184067,560476
0.68,1,0.353821,0.131129,0.191344,85802,156699,568531
0.72,1,0.369252,0.119441,0.180497,78154,133501,576179
0.76,1,0.385188,0.108544,0.169363,71024,113364,583309
0.8,1,0.400966,0.098288,0.157876,64313,96082,590020
0.84,1,0.415693,0.089103,0.14675,58303,81952,596030
0.88,1,0.428183,0.080207,0.135106,52482,70087,601851
0.92,1,0.442195,0.072274,0.124241,47291,59655,607042
0.96,1,0.452651,0.06457,0.113017,42250,51089,612083
1.0,1,0.460908,0.05757,0.102355,37670,44060,616663
1.04,1,0.469295,0.051494,0.092804,33694,38103,620639
1.08,1,0.47615,0.04563,0.083279,29857,32848,624476
1.12,1,0.482109,0.040687,0.075041,26623,28599,627710
1.16,1,0.487128,0.036235,0.067453,23710,24963,630623
1.2,1,0.489787,0.032286,0.060579,21126,22007,633207
1.24,1,0.491483,0.028661,0.054164,18754,19404,635579
1.28,1,0.490246,0.025424,0.048342,16636,17298,637697
1.32,1,0.486513,0.022438,0.042898,14682,15496,639651
1.36,1,0.48127,0.019871,0.038165,13002,14014,641331
1.4,1,0.473924,0.017652,0.034035,11550,12821,642783
1.44,1,0.467388,0.01577,0.030511,10319,11759,644014
