threshold,tolerance,precision,recall,f1,tp,fp,fn
0.0,0,0.020526,0.125166,0.035269,81900,3908136,572433
0.04,0,0.022711,0.122075,0.038298,79878,3437221,574455
0.08,0,0.02717,0.114442,0.043914,74883,2681217,579450
0.12,0,0.033137,0.10502,0.050378,68718,2005020,585615
0.16,0,0.040004,0.095557,0.056398,62526,1500457,591807
0.2,0,0.047386,0.087654,0.061516,57355,1153032,596978
0.24,0,0.054769,0.081017,0.065356,53012,914902,601321
0.28,0,0.061869,0.07576,0.068113,49572,751668,604761
0.32,0,0.068428,0.070796,0.069592,46324,630653,608009
0.36,0,0.074549,0.066176,0.070113,43301,537542,611032
0.4,0,0.080838,0.062072,0.070223,40616,461820,613717
0.44,0,0.086789,0.058165,0.06965,38059,400466,616274
0.48,0,0.092461,0.054371,0.068476,35577,349202,618756
0.52,0,0.09881,0.05111,0.067372,33443,305016,620890
0.56,0,0.104434,0.047777,0.065561,31262,268084,623071
0.6,0,0.110594,0.044745,0.063713,29278,235455,625055
0.64,0,0.117437,0.042009,0.061882,27488,206577,626845
0.68,0,0.123453,0.03922,0.059528,25663,182213,628670
0.72,0,0.12934,0.036575,0.057024,23932,161100,630401
0.76,0,0.134531,0.033944,0.054211,22211,142888,632122
0.8,0,0.139936,0.031632,0.0516,20698,127212,633635
0.84,0,0.145432,0.029509,0.049063,19309,113461,635024
0.88,0,0.150503,0.027465,0.046452,17971,101435,636362
0.92,0,0.156519,0.02582,0.044328,16895,91047,637438
0.96,0,0.161065,0.024046,0.041845,15734,81953,638599
1.0,0,0.165016,0.02231,0.039305,14598,73866,639735
1.04,0,0.16869,0.020726,0.036917,13562,66834,640771
1.08,0,0.172407,0.019264,0.034656,12605,60507,641728
1.12,0,0.175267,0.017804,0.032325,11650,54820,642683
1.16,0,0.176916,0.016421,0.030053,10745,49990,643588
1.2,0,0.179183,0.015202,0.028026,9947,45566,644386
1.24,0,0.181781,0.014199,0.026341,9291,41820,645042
1.28,0,0.184005,0.013186,0.024608,8628,38262,645705
1.32,0,0.184127,0.012176,0.022841,7967,35302,646366
1.36,0,0.184434,0.011216,0.021146,7339,32453,646994
1.4,0,0.183976,0.010363,0.019621,6781,30077,647552
1.44,0,0.182354,0.009555,0.018158,6252,28033,648081
1.48,0,0.180447,0.008832,0.01684,5779,26247,648554
1.52,0,0.180253,0.008239,0.015758,5391,24517,648942
1.56,0,0.178377,0.007562,0.014509,4948,22791,649385
1.6,0,0.176425,0.00699,0.013448,4574,21352,649759
1.64,0,0.174884,0.00651,0.012554,4260,20099,650073
1.68,0,0.174121,0.006063,0.011717,3967,18816,650366
1.72,0,0.17056,0.00559,0.010826,3658,17789,650675
1.76,0,0.168943,0.005236,0.010157,3426,16853,650907
1.8,0,0.168194,0.004938,0.009594,3231,15979,651102
1.84,0,0.166814,0.004615,0.008982,3020,15084,651313
1.88,0,0.165796,0.004365,0.008506,2856,14370,651477
1.92,0,0.162478,0.004041,0.007885,2644,13629,651689
1.96,0,0.158975,0.003753,0.007334,2456,12993,651877
2.0,0,0.156231,0.003512,0.00687,2298,12411,652035
0.0,1,0.064004,0.390288,0.109973,255378,3734658,398955
0.04,1,0.070889,0.381032,0.119538,249322,3267777,405011
0.08,1,0.084915,0.357667,0.137245,234033,2522067,420300
0.12,1,0.10365,0.328492,0.157579,214943,1858795,439390
0.16,1,0.125408,0.299557,0.176799,196010,1366973,458323
0.2,1,0.148833,0.275311,0.193214,180145,1030242,474188
0.24,1,0.172016,0.254453,0.205267,166497,801417,487836
0.28,1,0.193566,0.237025,0.213102,155093,646147,499240
