chart_id,n_gt,tolerance_frames,energy_best_f1,energy_best_recall,energy_best_precision,energy_best_threshold,spectral_flux_best_f1,spectral_flux_best_recall,spectral_flux_best_precision,spectral_flux_best_threshold,log_filtered_flux_best_f1,log_filtered_flux_best_recall,log_filtered_flux_best_precision,log_filtered_flux_best_threshold,hfc_mel_best_f1,hfc_mel_best_recall,hfc_mel_best_precision,hfc_mel_best_threshold,superflux_best_f1,superflux_best_recall,superflux_best_precision,superflux_best_threshold,subband_sf_4_best_f1,subband_sf_4_best_recall,subband_sf_4_best_precision,subband_sf_4_best_threshold,subband_sf_8_best_f1,subband_sf_8_best_recall,subband_sf_8_best_precision,subband_sf_8_best_threshold
1043364 ICHIKO - I SAY YES (TV Size) [Futsuu],238,10,0.5602,0.5672,0.5533,0.88,0.7078,0.916,0.5767,0.44,0.5621,0.8361,0.4234,0.32,0.5263,0.5252,0.5274,0.88,0.6516,0.8487,0.5288,0.4,0.7078,0.916,0.5767,0.44,0.7078,0.916,0.5767,0.44
1043364 ICHIKO - I SAY YES (TV Size) [Kantan],150,10,0.4365,0.5733,0.3525,0.88,0.4635,0.8667,0.3163,0.4,0.3774,0.78,0.2489,0.32,0.3773,0.4867,0.308,0.88,0.4194,0.6067,0.3204,0.48,0.4635,0.8667,0.3163,0.4,0.4635,0.8667,0.3163,0.4
1043364 ICHIKO - I SAY YES (TV Size) [Muzukashii],353,10,0.6564,0.728,0.5977,0.8,0.7853,0.8499,0.7299,0.4,0.6369,0.8074,0.5258,0.28,0.6348,0.7535,0.5485,0.76,0.6993,0.728,0.6728,0.4,0.7853,0.8499,0.7299,0.4,0.7853,0.8499,0.7299,0.4
1043364 ICHIKO - I SAY YES (TV Size) [Oni],425,10,0.7064,0.7671,0.6546,0.76,0.782,0.7976,0.767,0.36,0.649,0.8047,0.5437,0.24,0.6917,0.8447,0.5856,0.64,0.6799,0.6847,0.6752,0.36,0.782,0.7976,0.767,0.36,0.782,0.7976,0.767,0.36
1202956 HyuN - Fuyu no Hime [Snow Princess],1161,10,0.8718,0.9457,0.8085,0.32,0.8567,0.9035,0.8144,0.2,0.7021,0.7795,0.6387,0.12,0.8657,0.9552,0.7916,0.16,0.8329,0.876,0.7939,0.2,0.8567,0.9035,0.8144,0.2,0.8567,0.9035,0.8144,0.2
1202956 HyuN - Fuyu no Hime [Vulkin's Muzukashii],626,10,0.6224,0.8307,0.4976,0.68,0.7224,0.9042,0.6015,0.32,0.5891,0.7157,0.5006,0.2,0.6007,0.8978,0.4514,0.56,0.7105,0.8722,0.5993,0.32,0.7224,0.9042,0.6015,0.32,0.7224,0.9042,0.6015,0.32
1202956 HyuN - Fuyu no Hime [iceOC's Futsuu],356,10,0.4158,0.4888,0.3617,0.92,0.5258,0.8455,0.3815,0.4,0.4365,0.7669,0.305,0.2,0.4107,0.5618,0.3236,0.88,0.5182,0.6994,0.4116,0.48,0.5258,0.8455,0.3815,0.4,0.5258,0.8455,0.3815,0.4
1202956 HyuN - Fuyu no Hime [komasy's Oni],834,10,0.7363,0.9676,0.5943,0.32,0.818,0.8705,0.7715,0.32,0.673,0.801,0.5804,0.16,0.72,0.9604,0.5758,0.24,0.8009,0.8801,0.7347,0.28,0.818,0.8705,0.7715,0.32,0.818,0.8705,0.7715,0.32
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Confession],739,10,0.6151,0.6455,0.5874,0.68,0.7194,0.8119,0.6459,0.32,0.6309,0.7009,0.5736,0.4,0.6006,0.5819,0.6205,0.64,0.6414,0.8133,0.5295,0.2,0.7194,0.8119,0.6459,0.32,0.7194,0.8119,0.6459,0.32
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Futsuu],445,10,0.5423,0.5685,0.5184,0.8,0.5714,0.7281,0.4702,0.44,0.516,0.636,0.434,0.52,0.5183,0.6045,0.4536,0.68,0.508,0.7483,0.3845,0.28,0.5714,0.7281,0.4702,0.44,0.5714,0.7281,0.4702,0.44
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Muzukashii],631,10,0.5669,0.6482,0.5037,0.68,0.6795,0.8399,0.5705,0.32,0.6144,0.6577,0.5764,0.48,0.5605,0.5436,0.5784,0.68,0.6212,0.7369,0.537,0.28,0.6795,0.8399,0.5705,0.32,0.6795,0.8399,0.5705,0.32
1336266 Silentroom - Finixe [Futsuu],448,10,0.6205,0.75,0.5291,0.88,0.7207,0.7344,0.7075,0.6,0.6042,0.7054,0.5284,0.52,0.5024,0.808,0.3646,0.84,0.7009,0.7165,0.6859,0.56,0.7207,0.7344,0.7075,0.6,0.7207,0.7344,0.7075,0.6
1336266 Silentroom - Finixe [Hell Oni],1434,10,0.8023,0.8096,0.7952,0.68,0.7986,0.8459,0.7562,0.24,0.6651,0.864,0.5406,0.2,0.8181,0.8466,0.7914,0.72,0.7604,0.8201,0.7089,0.24,0.7986,0.8459,0.7562,0.24,0.7986,0.8459,0.7562,0.24
1336266 Silentroom - Finixe [Inner Oni],1145,10,0.7823,0.89,0.6979,0.68,0.7808,0.7511,0.8129,0.32,0.6424,0.6934,0.5983,0.32,0.76,0.8891,0.6636,0.72,0.7401,0.7808,0.7034,0.28,0.7808,0.7511,0.8129,0.32,0.7808,0.7511,0.8129,0.32
1336266 Silentroom - Finixe [Kantan],242,10,0.4928,0.7025,0.3795,0.92,0.5516,0.8058,0.4194,0.6,0.4593,0.595,0.374,0.64,0.3529,0.6818,0.2381,0.88,0.5509,0.7603,0.4319,0.6,0.5516,0.8058,0.4194,0.6,0.5516,0.8058,0.4194,0.6
1336266 Silentroom - Finixe [Muzukashii],654,10,0.6827,0.6728,0.6929,0.88,0.7695,0.7936,0.7468,0.44,0.6369,0.708,0.5787,0.44,0.6081,0.8838,0.4635,0.8,0.7416,0.7722,0.7133,0.4,0.7695,0.7936,0.7468,0.44,0.7695,0.7936,0.7468,0.44
1336266 Silentroom - Finixe [Oni],854,10,0.6997,0.6862,0.7138,0.84,0.7834,0.8068,0.7613,0.36,0.6549,0.6932,0.6205,0.4,0.6797,0.8361,0.5726,0.8,0.7445,0.7319,0.7576,0.36,0.7834,0.8068,0.7613,0.36,0.7834,0.8068,0.7613,0.36
1537528 Yunomi - Koi no Uta (feat. Yuzaki Tsukasa (CV_ Kito Akari)) (TV Size) [Futsuu],198,10,0.5215,0.8283,0.3805,0.44,0.6177,0.8283,0.4925,0.4,0.5021,0.6162,0.4236,0.48,0.4399,0.7677,0.3083,0.28,0.577,0.7475,0.4698,0.36,0.6177,0.8283,0.4925,0.4,0.6177,0.8283,0.4925,0.4
1537528 Yunomi - Koi no Uta (feat. Yuzaki Tsukasa (CV_ Kito Akari)) (TV Size) [Inner Oni],452,10,0.7401,0.7876,0.698,0.32,0.7387,0.7942,0.6904,0.24,0.6002,0.6726,0.5419,0.28,0.6772,0.708,0.6491,0.28,0.6981,0.7212,0.6763,0.24,0.7387,0.7942,0.6904,0.24,0.7387,0.7942,0.6904,0.24
1537528 Yunomi - Koi no Uta (feat. Yuzaki Tsukasa (CV_ Kito Akari)) (TV Size) [Kantan],114,10,0.4011,0.6667,0.2868,0.68,0.4964,0.6053,0.4207,0.64,0.4086,0.3333,0.5278,1.0,0.3219,0.6579,0.2131,0.44,0.4644,0.5439,0.4052,0.64,0.4964,0.6053,0.4207,0.64,0.4964,0.6053,0.4207,0.64
1537528 Yunomi - Koi no Uta (feat. Yuzaki Tsukasa (CV_ Kito Akari)) (TV Size) [Muzukashii],298,10,0.6283,0.7685,0.5313,0.44,0.7068,0.7483,0.6697,0.4,0.5584,0.6174,0.5097,0.4,0.5436,0.7215,0.4361,0.28,0.6566,0.7282,0.5978,0.32,0.7068,0.7483,0.6697,0.4,0.7068,0.7483,0.6697,0.4
1537528 Yunomi - Koi no Uta (feat. Yuzaki Tsukasa (CV_ Kito Akari)) (TV Size) [Oni],382,10,0.7063,0.8246,0.6176,0.32,0.7478,0.788,0.7116,0.32,0.596,0.7356,0.5009,0.28,0.6149,0.7042,0.5456,0.28,0.701,0.7304,0.6739,0.28,0.7478,0.788,0.7116,0.32,0.7478,0.788,0.7116,0.32
1619890 TWICE - HO! [Futsuu],590,10,0.6179,0.6441,0.5938,0.8,0.7653,0.9034,0.6638,0.28,0.6684,0.8881,0.5358,0.16,0.4641,0.6186,0.3713,0.64,0.7184,0.8712,0.6112,0.2,0.7653,0.9034,0.6638,0.28,0.7653,0.9034,0.6638,0.28
1619890 TWICE - HO! [Kantan],313,10,0.3835,0.639,0.274,0.76,0.5093,0.8275,0.3679,0.36,0.4503,0.6805,0.3365,0.28,0.297,0.492,0.2127,0.76,0.4768,0.8211,0.3359,0.24,0.5093,0.8275,0.3679,0.36,0.5093,0.8275,0.3679,0.36
1619890 TWICE - HO! [Muzukashii],847,10,0.6748,0.6836,0.6663,0.68,0.8266,0.83,0.8232,0.24,0.7397,0.7969,0.6902,0.16,0.5617,0.6423,0.4991,0.52,0.7737,0.771,0.7765,0.2,0.8266,0.83,0.8232,0.24,0.8266,0.83,0.8232,0.24
1619890 TWICE - HO! [Oni],1154,10,0.6815,0.6655,0.6982,0.28,0.76,0.6612,0.8934,0.24,0.6895,0.6369,0.7515,0.16,0.6163,0.6153,0.6174,0.28,0.7248,0.6915,0.7615,0.12,0.76,0.6612,0.8934,0.24,0.76,0.6612,0.8934,0.24
1729664 Toyotomi Hideyoshi no Maizoukin - Kinsei no Ningen o Uchikorosu [Futsuu],318,10,0.465,0.7516,0.3366,0.72,0.6493,0.8208,0.537,0.36,0.5455,0.8019,0.4133,0.2,0.4077,0.7013,0.2874,0.6,0.5834,0.7201,0.4904,0.32,0.6493,0.8208,0.537,0.36,0.6493,0.8208,0.537,0.36
1729664 Toyotomi Hideyoshi no Maizoukin - Kinsei no Ningen o Uchikorosu [Kantan],169,10,0.2857,0.5858,0.1889,0.8,0.4906,0.7751,0.3589,0.44,0.3908,0.7515,0.264,0.24,0.2571,0.3728,0.1963,0.84,0.4366,0.7337,0.3108,0.36,0.4906,0.7751,0.3589,0.44,0.4906,0.7751,0.3589,0.44
1729664 Toyotomi Hideyoshi no Maizoukin - Kinsei no Ningen o Uchikorosu [Korose!],623,10,0.6796,0.7849,0.5993,0.64,0.725,0.8507,0.6317,0.24,0.6306,0.7303,0.5549,0.16,0.627,0.7271,0.5511,0.56,0.6769,0.7785,0.5988,0.2,0.725,0.8507,0.6317,0.24,0.725,0.8507,0.6317,0.24
1729664 Toyotomi Hideyoshi no Maizoukin - Kinsei no Ningen o Uchikorosu [Muzukashii],427,10,0.5571,0.7822,0.4326,0.68,0.7003,0.829,0.6062,0.32,0.5977,0.7307,0.5057,0.2,0.5021,0.7073,0.3892,0.6,0.6335,0.8197,0.5162,0.24,0.7003,0.829,0.6062,0.32,0.7003,0.829,0.6062,0.32
1729664 Toyotomi Hideyoshi no Maizoukin - Kinsei no Ningen o Uchikorosu [Oni],542,10,0.6408,0.7768,0.5453,0.68,0.7318,0.7601,0.7055,0.32,0.6432,0.8081,0.5341,0.16,0.5806,0.7306,0.4818,0.56,0.6657,0.8303,0.5556,0.2,0.7318,0.7601,0.7055,0.32,0.7318,0.7601,0.7055,0.32
1740643 MakSim - Doroga [Journey],1005,10,0.6853,0.7303,0.6456,0.68,0.6998,0.7144,0.6858,0.24,0.5546,0.5512,0.5579,0.24,0.6732,0.7164,0.6349,0.52,0.6167,0.6507,0.586,0.2,0.6998,0.7144,0.6858,0.24,0.6998,0.7144,0.6858,0.24
1740643 MakSim - Doroga [Kantan],343,10,0.5422,0.4402,0.7056,0.92,0.6636,0.8455,0.5461,0.44,0.5114,0.7201,0.3965,0.36,0.4668,0.6764,0.3564,0.8,0.5998,0.8017,0.4791,0.36,0.6636,0.8455,0.5461,0.44,0.6636,0.8455,0.5461,0.44
1740643 MakSim - Doroga [Ryxliee & Froskya's Muzukashii],803,10,0.6412,0.7746,0.5471,0.68,0.6832,0.787,0.6036,0.24,0.5546,0.6202,0.5015,0.24,0.6265,0.6999,0.5671,0.68,0.6155,0.6588,0.5775,0.24,0.6832,0.787,0.6036,0.24,0.6832,0.787,0.6036,0.24
1740643 MakSim - Doroga [Tachi's Futsuu],595,10,0.6103,0.7345,0.5221,0.8,0.6908,0.7227,0.6615,0.36,0.569,0.6891,0.4846,0.28,0.5989,0.7126,0.5164,0.76,0.6363,0.6689,0.6067,0.32,0.6908,0.7227,0.6615,0.36,0.6908,0.7227,0.6615,0.36
1773891 Takenoko boy feat. Hatsune Miku - Sou Datta!! [Futsuu!!],475,10,0.5788,0.5411,0.6223,0.92,0.6871,0.8484,0.5774,0.32,0.6139,0.8168,0.4918,0.2,0.5872,0.6842,0.5142,0.88,0.6437,0.7474,0.5653,0.28,0.6871,0.8484,0.5774,0.32,0.6871,0.8484,0.5774,0.32
1773891 Takenoko boy feat. Hatsune Miku - Sou Datta!! [Inner Oni!!],1246,10,0.7753,0.8018,0.7506,0.0,0.8141,0.7681,0.8661,0.2,0.7698,0.7705,0.7692,0.12,0.7765,0.8098,0.7458,0.08,0.7796,0.7552,0.8057,0.16,0.8141,0.7681,0.8661,0.2,0.8141,0.7681,0.8661,0.2
1773891 Takenoko boy feat. Hatsune Miku - Sou Datta!! [Kantan!!],277,10,0.4065,0.6787,0.2901,0.88,0.5276,0.8267,0.3875,0.36,0.4447,0.8556,0.3004,0.2,0.429,0.704,0.3085,0.88,0.4685,0.7653,0.3376,0.28,0.5276,0.8267,0.3875,0.36,0.5276,0.8267,0.3875,0.36
1773891 Takenoko boy feat. Hatsune Miku - Sou Datta!! [Muzukashii!!],764,10,0.6152,0.8128,0.4948,0.64,0.7733,0.8639,0.6999,0.24,0.7201,0.8285,0.6368,0.16,0.6132,0.8259,0.4876,0.6,0.7239,0.8168,0.65,0.2,0.7733,0.8639,0.6999,0.24,0.7733,0.8639,0.6999,0.24
1773891 Takenoko boy feat. Hatsune Miku - Sou Datta!! [Oni!!],1016,10,0.7141,0.8248,0.6296,0.0,0.8341,0.8041,0.8664,0.24,0.7836,0.873,0.7107,0.12,0.7075,0.8248,0.6194,0.08,0.7894,0.8484,0.738,0.16,0.8341,0.8041,0.8664,0.24,0.8341,0.8041,0.8664,0.24
1784717 Yuki Setsuna (CV_ Kusunoki Tomori) - CHASE! (Short Ver.) [Futsuu],338,10,0.5168,0.6154,0.4454,0.92,0.7371,0.8047,0.68,0.48,0.4979,0.6923,0.3887,0.36,0.4323,0.5858,0.3426,0.88,0.6729,0.7426,0.6152,0.44,0.7371,0.8047,0.68,0.48,0.7371,0.8047,0.68,0.48
1784717 Yuki Setsuna (CV_ Kusunoki Tomori) - CHASE! (Short Ver.) [Kantan],172,10,0.4357,0.4826,0.3971,0.96,0.5478,0.75,0.4314,0.56,0.3349,0.6395,0.2268,0.4,0.2885,0.4302,0.217,0.92,0.501,0.6977,0.3909,0.52,0.5478,0.75,0.4314,0.56,0.5478,0.75,0.4314,0.56
1784717 Yuki Setsuna (CV_ Kusunoki Tomori) - CHASE! (Short Ver.) [Ph0eNiiXZ's Muzukashii],474,10,0.5994,0.5949,0.6039,0.92,0.7559,0.8101,0.7085,0.4,0.5158,0.7384,0.3964,0.28,0.5416,0.6941,0.444,0.84,0.6553,0.6097,0.7083,0.44,0.7559,0.8101,0.7085,0.4,0.7559,0.8101,0.7085,0.4
1784717 Yuki Setsuna (CV_ Kusunoki Tomori) - CHASE! (Short Ver.) [Scarlet Oni],559,10,0.6281,0.6995,0.57,0.88,0.7593,0.7478,0.7712,0.4,0.5319,0.7835,0.4026,0.24,0.5877,0.7639,0.4776,0.76,0.6661,0.6905,0.6433,0.36,0.7593,0.7478,0.7712,0.4,0.7593,0.7478,0.7712,0.4
"1819401 Yakushi Ruri - Gaman Dekinai no, Iwasete!! [Asa's Futsuu]",332,10,0.633,0.8675,0.4983,0.8,0.7375,0.8464,0.6535,0.48,0.7014,0.7711,0.6432,0.4,0.6086,0.8946,0.4612,0.76,0.7308,0.7892,0.6805,0.44,0.7375,0.8464,0.6535,0.48,0.7375,0.8464,0.6535,0.48
"1819401 Yakushi Ruri - Gaman Dekinai no, Iwasete!! [Little Oni]",709,10,0.7778,0.78,0.7756,0.68,0.7836,0.7405,0.832,0.28,0.7547,0.7137,0.8006,0.24,0.7698,0.7616,0.7781,0.72,0.7513,0.7094,0.7984,0.24,0.7836,0.7405,0.832,0.28,0.7836,0.7405,0.832,0.28
"1819401 Yakushi Ruri - Gaman Dekinai no, Iwasete!! [Muzukashii]",422,10,0.6948,0.8768,0.5754,0.76,0.8036,0.8436,0.7672,0.44,0.7552,0.7749,0.7365,0.36,0.6886,0.8697,0.5699,0.76,0.7652,0.7607,0.7698,0.4,0.8036,0.8436,0.7672,0.44,0.8036,0.8436,0.7672,0.44
"1819401 Yakushi Ruri - Gaman Dekinai no, Iwasete!! [Oni]",571,10,0.7611,0.8091,0.7185,0.76,0.8126,0.7933,0.8327,0.36,0.7683,0.7636,0.773,0.28,0.7478,0.8284,0.6816,0.72,0.7674,0.7338,0.8042,0.32,0.8126,0.7933,0.8327,0.36,0.8126,0.7933,0.8327,0.36
"1819401 Yakushi Ruri - Gaman Dekinai no, Iwasete!! [Yui's Kantan]",168,10,0.4165,0.7798,0.2842,0.84,0.4525,0.8512,0.3082,0.44,0.419,0.8393,0.2792,0.32,0.3645,0.881,0.2298,0.76,0.4209,0.8631,0.2783,0.32,0.4525,0.8512,0.3082,0.44,0.4525,0.8512,0.3082,0.44
