pair,n_total,n_both,n_a_only,n_b_only,n_neither,recall_a,recall_b,recall_union,jaccard,marg_b_given_a,marg_a_given_b
energy+hfc_mel,654333,469215,41303,35806,108009,0.7802112991397346,0.7718103778962699,0.8349326718964197,0.8588584795835438,0.05472137275668505,0.06312229400014976
energy+log_filtered_flux,654333,346589,163929,81105,62710,0.7802112991397346,0.6536335474444969,0.9041619481212165,0.5858274610689578,0.1239506489814819,0.25052840067671966
energy+spectral_flux,654333,407182,103336,78657,65158,0.7802112991397346,0.742495029289368,0.9004207337853968,0.6911053591886961,0.12020943464566207,0.15792570449602877
energy+subband_sf_4,654333,407182,103336,78657,65158,0.7802112991397346,0.742495029289368,0.9004207337853968,0.6911053591886961,0.12020943464566207,0.15792570449602877
energy+subband_sf_8,654333,407182,103336,78657,65158,0.7802112991397346,0.742495029289368,0.9004207337853968,0.6911053591886961,0.12020943464566207,0.15792570449602877
energy+superflux,654333,377923,132595,75042,68773,0.7802112991397346,0.6922545554022187,0.8948960238899765,0.6454043992075962,0.11468472475024184,0.20264146848775777
hfc_mel+log_filtered_flux,654333,340448,164573,87246,62066,0.7718103778962699,0.6536335474444969,0.9051461564677312,0.5748218286684891,0.1333357785714613,0.25151260902323436
hfc_mel+spectral_flux,654333,398535,106486,87304,62008,0.7718103778962699,0.742495029289368,0.9052347963498708,0.6728316380365509,0.13342441845360084,0.16273976706050283
hfc_mel+subband_sf_4,654333,398535,106486,87304,62008,0.7718103778962699,0.742495029289368,0.9052347963498708,0.6728316380365509,0.13342441845360084,0.16273976706050283
hfc_mel+subband_sf_8,654333,398535,106486,87304,62008,0.7718103778962699,0.742495029289368,0.9052347963498708,0.6728316380365509,0.13342441845360084,0.16273976706050283
hfc_mel+superflux,654333,370195,134826,82770,66542,0.7718103778962699,0.6922545554022187,0.8983056028046882,0.6298071933731547,0.1264952249084182,0.20605104740246938
log_filtered_flux+spectral_flux,654333,415668,12026,70171,156468,0.6536335474444969,0.742495029289368,0.7608740503688489,0.8349010273869423,0.10724050292435197,0.018379021079480938
log_filtered_flux+subband_sf_4,654333,415668,12026,70171,156468,0.6536335474444969,0.742495029289368,0.7608740503688489,0.8349010273869423,0.10724050292435197,0.018379021079480938
log_filtered_flux+subband_sf_8,654333,415668,12026,70171,156468,0.6536335474444969,0.742495029289368,0.7608740503688489,0.8349010273869423,0.10724050292435197,0.018379021079480938
log_filtered_flux+superflux,654333,395229,32465,57736,168903,0.6536335474444969,0.6922545554022187,0.7418699652929013,0.8141833014028799,0.0882364178484044,0.049615409890682576
spectral_flux+subband_sf_4,654333,485839,0,0,168494,0.742495029289368,0.742495029289368,0.742495029289368,1.0,0.0,0.0
spectral_flux+subband_sf_8,654333,485839,0,0,168494,0.742495029289368,0.742495029289368,0.742495029289368,1.0,0.0,0.0
spectral_flux+superflux,654333,438300,47539,14665,153829,0.742495029289368,0.6922545554022187,0.7649071650061972,0.8757172769847993,0.0224121357168292,0.0726526096039784
subband_sf_4+subband_sf_8,654333,485839,0,0,168494,0.742495029289368,0.742495029289368,0.742495029289368,1.0,0.0,0.0
subband_sf_4+superflux,654333,438300,47539,14665,153829,0.742495029289368,0.6922545554022187,0.7649071650061972,0.8757172769847993,0.0224121357168292,0.0726526096039784
subband_sf_8+superflux,654333,438300,47539,14665,153829,0.742495029289368,0.6922545554022187,0.7649071650061972,0.8757172769847993,0.0224121357168292,0.0726526096039784
