chart_id,n_gt,density_mean,star_rating,energy_caught,energy_n_pred,energy_n_tp,hfc_mel_caught,hfc_mel_n_pred,hfc_mel_n_tp,log_filtered_flux_caught,log_filtered_flux_n_pred,log_filtered_flux_n_tp,spectral_flux_caught,spectral_flux_n_pred,spectral_flux_n_tp,subband_sf_4_caught,subband_sf_4_n_pred,subband_sf_4_n_tp,subband_sf_8_caught,subband_sf_8_n_pred,subband_sf_8_n_tp,superflux_caught,superflux_n_pred,superflux_n_tp
1043364 ICHIKO - I SAY YES (TV Size) [Futsuu],238,2.766,2.009,186,498,186,196,574,196,229,629,229,234,493,234,234,493,234,234,493,234,227,537,227
1043364 ICHIKO - I SAY YES (TV Size) [Kantan],150,1.765,1.4304,124,498,124,123,574,123,142,629,142,141,493,141,141,493,141,141,493,141,127,537,127
1043364 ICHIKO - I SAY YES (TV Size) [Muzukashii],353,4.102,3.1381,279,498,279,291,574,291,310,629,310,318,493,318,318,493,318,318,493,318,298,537,298
1043364 ICHIKO - I SAY YES (TV Size) [Oni],425,4.939,3.8567,326,498,326,343,574,343,342,629,342,355,493,355,355,493,355,355,493,355,323,537,323
1202956 HyuN - Fuyu no Hime [Snow Princess],1161,8.586,6.4164,793,896,793,850,999,850,480,651,480,850,941,850,850,941,850,850,941,850,851,999,851
1202956 HyuN - Fuyu no Hime [Vulkin's Muzukashii],626,4.547,3.6893,450,896,450,475,999,475,337,651,337,566,941,566,566,941,566,566,941,566,568,999,568
1202956 HyuN - Fuyu no Hime [iceOC's Futsuu],356,2.586,2.3366,250,896,250,264,999,264,214,651,214,337,941,337,337,941,337,337,941,337,338,999,338
1202956 HyuN - Fuyu no Hime [komasy's Oni],834,6.167,4.6788,589,896,589,628,999,628,418,651,418,726,941,726,726,941,726,726,941,726,734,999,734
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Confession],739,2.848,2.4513,396,583,396,396,593,396,657,1456,657,600,929,600,600,929,600,600,929,600,506,866,506
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Futsuu],445,1.715,1.5444,271,583,271,269,593,269,407,1456,407,384,929,384,384,929,384,384,929,384,333,866,333
1295573 Kano - Chikyuu Saigo no Kokuhaku o [Muzukashii],631,2.432,2.0433,341,583,341,343,593,343,571,1456,571,530,929,530,530,929,530,530,929,530,465,866,465
1336266 Silentroom - Finixe [Futsuu],448,3.035,2.4994,410,1261,410,436,1606,436,431,1865,431,427,1058,427,427,1058,427,427,1058,427,428,1271,428
1336266 Silentroom - Finixe [Hell Oni],1434,9.719,7.3734,1031,1261,1031,1243,1606,1243,1083,1865,1083,951,1058,951,951,1058,951,951,1058,951,1028,1271,1028
1336266 Silentroom - Finixe [Inner Oni],1145,7.761,6.1006,918,1261,918,1040,1606,1040,938,1865,938,860,1058,860,860,1058,860,860,1058,860,894,1271,894
1336266 Silentroom - Finixe [Kantan],242,1.639,1.4822,221,1261,221,238,1606,238,235,1865,235,233,1058,233,233,1058,233,233,1058,233,235,1271,235
1336266 Silentroom - Finixe [Muzukashii],654,4.43,3.8238,593,1261,593,631,1606,631,613,1865,613,604,1058,604,604,1058,604,604,1058,604,604,1271,604
1336266 Silentroom - Finixe [Oni],854,5.785,4.9496,735,1261,735,802,1606,802,761,1865,761,727,1058,727,727,1058,727,727,1058,727,750,1271,750
