subset,size,recall,precision_lower,precision_upper,f1,n_pred_union,n_tp_unique
energy,1,0.7802112991397346,0.5516572908044511,0.5516572908044511,0.6463239013039331,925426,510518
hfc_mel,1,0.7718103778962699,0.5256583466910922,0.5256583466910922,0.625384734931486,960740,505021
log_filtered_flux,1,0.6536335474444969,0.4750988923830926,0.4750988923830926,0.5502465658960705,900221,427694
spectral_flux,1,0.742495029289368,0.6254203032877629,0.6254203032877629,0.678947673658931,776820,485839
subband_sf_4,1,0.742495029289368,0.6254203032877629,0.6254203032877629,0.678947673658931,776820,485839
subband_sf_8,1,0.742495029289368,0.6254203032877629,0.6254203032877629,0.678947673658931,776820,485839
superflux,1,0.6922545554022187,0.5653299885177974,0.5653299885177974,0.622387197344276,801240,452965
energy+hfc_mel,2,0.8349326718964197,0.28964788889206994,0.5384144343604964,0.4300918835236699,1886166,546324
energy+log_filtered_flux,2,0.9041619481212165,0.3240620996282414,0.5139065766821297,0.4771191703158897,1825647,591623
energy+spectral_flux,2,0.9004207337853968,0.3461162487678044,0.585319043193522,0.5000256728079135,1702246,589175
energy+subband_sf_4,2,0.9004207337853968,0.3461162487678044,0.585319043193522,0.5000256728079135,1702246,589175
energy+subband_sf_8,2,0.9004207337853968,0.3461162487678044,0.585319043193522,0.5000256728079135,1702246,589175
energy+superflux,2,0.8948960238899765,0.3391275440646888,0.5580019528965069,0.4918607693661359,1726666,585560
hfc_mel+log_filtered_flux,2,0.9051461564677312,0.31825868462584656,0.5012007237121036,0.47093262258805535,1860961,592267
hfc_mel+spectral_flux,2,0.9052347963498708,0.3408947029167338,0.5702594442781832,0.49527717167950236,1737560,592325
hfc_mel+subband_sf_4,2,0.9052347963498708,0.3408947029167338,0.5702594442781832,0.49527717167950236,1737560,592325
hfc_mel+subband_sf_8,2,0.9052347963498708,0.3408947029167338,0.5702594442781832,0.49527717167950236,1737560,592325
hfc_mel+superflux,2,0.8983056028046882,0.33359686262046107,0.5436985663855436,0.4865189236659323,1761980,587791
log_filtered_flux+spectral_flux,2,0.7608740503688489,0.29687109617475066,0.5447290793725377,0.4271000706021428,1677041,497865
log_filtered_flux+subband_sf_4,2,0.7608740503688489,0.29687109617475066,0.5447290793725377,0.4271000706021428,1677041,497865
log_filtered_flux+subband_sf_8,2,0.7608740503688489,0.29687109617475066,0.5447290793725377,0.4271000706021428,1677041,497865
log_filtered_flux+superflux,2,0.7418699652929013,0.28530186704250055,0.5175898830475691,0.4121158301617205,1701461,485430
