pair,n_total,n_both,n_a_only,n_b_only,n_neither,recall_a,recall_b,recall_union,jaccard,marg_b_given_a,marg_a_given_b
energy+hfc_mel,1166,883,32,70,181,0.7847341337907375,0.8173241852487135,0.8447684391080618,0.8964467005076142,0.060034305317324184,0.0274442538593482
energy+log_filtered_flux,1166,808,107,215,36,0.7847341337907375,0.8773584905660378,0.9691252144082333,0.7150442477876107,0.1843910806174957,0.09176672384219554
energy+spectral_flux,1166,842,73,206,45,0.7847341337907375,0.8987993138936535,0.9614065180102916,0.7511150758251561,0.17667238421955403,0.06260720411663807
energy+subband_sf_4,1166,842,73,206,45,0.7847341337907375,0.8987993138936535,0.9614065180102916,0.7511150758251561,0.17667238421955403,0.06260720411663807
energy+subband_sf_8,1166,842,73,206,45,0.7847341337907375,0.8987993138936535,0.9614065180102916,0.7511150758251561,0.17667238421955403,0.06260720411663807
energy+superflux,1166,789,126,186,65,0.7847341337907375,0.8361921097770154,0.9442538593481989,0.7166212534059946,0.1595197255574614,0.10806174957118353
hfc_mel+log_filtered_flux,1166,844,109,179,34,0.8173241852487135,0.8773584905660378,0.9708404802744426,0.7455830388692579,0.153516295025729,0.09348198970840481
hfc_mel+spectral_flux,1166,878,75,170,43,0.8173241852487135,0.8987993138936535,0.9631217838765008,0.7818343722172751,0.1457975986277873,0.06432246998284734
hfc_mel+subband_sf_4,1166,878,75,170,43,0.8173241852487135,0.8987993138936535,0.9631217838765008,0.7818343722172751,0.1457975986277873,0.06432246998284734
hfc_mel+subband_sf_8,1166,878,75,170,43,0.8173241852487135,0.8987993138936535,0.9631217838765008,0.7818343722172751,0.1457975986277873,0.06432246998284734
hfc_mel+superflux,1166,823,130,152,61,0.8173241852487135,0.8361921097770154,0.9476843910806175,0.7447963800904978,0.13036020583190394,0.11149228130360206
log_filtered_flux+spectral_flux,1166,1008,15,40,103,0.8773584905660378,0.8987993138936535,0.9116638078902229,0.9482596425211665,0.03430531732418525,0.012864493996569469
log_filtered_flux+subband_sf_4,1166,1008,15,40,103,0.8773584905660378,0.8987993138936535,0.9116638078902229,0.9482596425211665,0.03430531732418525,0.012864493996569469
log_filtered_flux+subband_sf_8,1166,1008,15,40,103,0.8773584905660378,0.8987993138936535,0.9116638078902229,0.9482596425211665,0.03430531732418525,0.012864493996569469
log_filtered_flux+superflux,1166,952,71,23,120,0.8773584905660378,0.8361921097770154,0.8970840480274442,0.9101338432122371,0.01972555746140652,0.060891938250428816
spectral_flux+subband_sf_4,1166,1048,0,0,118,0.8987993138936535,0.8987993138936535,0.8987993138936535,1.0,0.0,0.0
spectral_flux+subband_sf_8,1166,1048,0,0,118,0.8987993138936535,0.8987993138936535,0.8987993138936535,1.0,0.0,0.0
spectral_flux+superflux,1166,965,83,10,108,0.8987993138936535,0.8361921097770154,0.9073756432246999,0.9120982986767486,0.008576329331046312,0.0711835334476844
subband_sf_4+subband_sf_8,1166,1048,0,0,118,0.8987993138936535,0.8987993138936535,0.8987993138936535,1.0,0.0,0.0
subband_sf_4+superflux,1166,965,83,10,108,0.8987993138936535,0.8361921097770154,0.9073756432246999,0.9120982986767486,0.008576329331046312,0.0711835334476844
subband_sf_8+superflux,1166,965,83,10,108,0.8987993138936535,0.8361921097770154,0.9073756432246999,0.9120982986767486,0.008576329331046312,0.0711835334476844
