subset,size,recall,precision_lower,precision_upper,f1,n_pred_union,n_tp_unique
energy,1,0.7847341337907375,0.45933734939759036,0.45933734939759036,0.5794806839772008,1992,915
hfc_mel,1,0.8173241852487135,0.41506968641114983,0.41506968641114983,0.5505488157134604,2296,953
log_filtered_flux,1,0.8773584905660378,0.40659777424483307,0.40659777424483307,0.5556762629005975,2516,1023
spectral_flux,1,0.8987993138936535,0.5314401622718052,0.5314401622718052,0.6679413639260674,1972,1048
subband_sf_4,1,0.8987993138936535,0.5314401622718052,0.5314401622718052,0.6679413639260674,1972,1048
subband_sf_8,1,0.8987993138936535,0.5314401622718052,0.5314401622718052,0.6679413639260674,1972,1048
superflux,1,0.8361921097770154,0.45391061452513964,0.45391061452513964,0.5884127942063971,2148,975
energy+hfc_mel,2,0.8447684391080618,0.2297108208955224,0.435634328358209,0.3612027869453612,4288,985
energy+log_filtered_flux,2,0.9691252144082333,0.2506654835847382,0.42990239574090505,0.3983080719069439,4508,1130
energy+spectral_flux,2,0.9614065180102916,0.282795156407669,0.4952068617558022,0.437037037037037,3964,1121
energy+subband_sf_4,2,0.9614065180102916,0.282795156407669,0.4952068617558022,0.437037037037037,3964,1121
energy+subband_sf_8,2,0.9614065180102916,0.282795156407669,0.4952068617558022,0.437037037037037,3964,1121
energy+superflux,2,0.9442538593481989,0.26594202898550723,0.45652173913043476,0.41500188465887666,4140,1101
hfc_mel+log_filtered_flux,2,0.9708404802744426,0.23524522028262676,0.4106400665004156,0.37872198059551687,4812,1132
hfc_mel+spectral_flux,2,0.9631217838765008,0.26312089971883784,0.46883786316776005,0.41332351858667643,4268,1123
hfc_mel+subband_sf_4,2,0.9631217838765008,0.26312089971883784,0.46883786316776005,0.41332351858667643,4268,1123
hfc_mel+subband_sf_8,2,0.9631217838765008,0.26312089971883784,0.46883786316776005,0.41332351858667643,4268,1123
hfc_mel+superflux,2,0.9476843910806175,0.24864986498649866,0.43384338433843384,0.393939393939394,4444,1105
log_filtered_flux+spectral_flux,2,0.9116638078902229,0.23685383244206773,0.46145276292335113,0.3760169791298196,4488,1063
log_filtered_flux+subband_sf_4,2,0.9116638078902229,0.23685383244206773,0.46145276292335113,0.3760169791298196,4488,1063
log_filtered_flux+subband_sf_8,2,0.9116638078902229,0.23685383244206773,0.46145276292335113,0.3760169791298196,4488,1063
log_filtered_flux+superflux,2,0.8970840480274442,0.22427101200686106,0.4283876500857633,0.3588336192109777,4664,1046
spectral_flux+subband_sf_4,2,0.8987993138936535,0.2657200811359026,0.5314401622718052,0.4101761252446184,3944,1048
spectral_flux+subband_sf_8,2,0.8987993138936535,0.2657200811359026,0.5314401622718052,0.4101761252446184,3944,1048
spectral_flux+superflux,2,0.9073756432246999,0.25679611650485434,0.49101941747572814,0.4003026863412788,4120,1058
subband_sf_4+subband_sf_8,2,0.8987993138936535,0.2657200811359026,0.5314401622718052,0.4101761252446184,3944,1048
subband_sf_4+superflux,2,0.9073756432246999,0.25679611650485434,0.49101941747572814,0.4003026863412788,4120,1058
subband_sf_8+superflux,2,0.9073756432246999,0.25679611650485434,0.49101941747572814,0.4003026863412788,4120,1058
energy+hfc_mel+log_filtered_flux,3,0.9759862778730704,0.16725455614344503,0.42489711934156377,0.2855708908406524,6804,1138
energy+hfc_mel+spectral_flux,3,0.9682675814751286,0.1803514376996805,0.465814696485623,0.3040667923511985,6260,1129
energy+hfc_mel+subband_sf_4,3,0.9682675814751286,0.1803514376996805,0.465814696485623,0.3040667923511985,6260,1129
energy+hfc_mel+subband_sf_8,3,0.9682675814751286,0.1803514376996805,0.465814696485623,0.3040667923511985,6260,1129
energy+hfc_mel+superflux,3,0.9519725557461407,0.17246737103791174,0.44173399627097576,0.2920284135753749,6436,1110
energy+log_filtered_flux+spectral_flux,3,0.9716981132075472,0.17484567901234568,0.4608024691358025,0.2963641119539629,6480,1133
energy+log_filtered_flux+subband_sf_4,3,0.9716981132075472,0.17484567901234568,0.4608024691358025,0.2963641119539629,6480,1133
energy+log_filtered_flux+subband_sf_8,3,0.9716981132075472,0.17484567901234568,0.4608024691358025,0.2963641119539629,6480,1133
energy+log_filtered_flux+superflux,3,0.9716981132075472,0.17022235576923078,0.43765024038461536,0.28969572999232934,6656,1133
energy+spectral_flux+subband_sf_4,3,0.9614065180102916,0.1888477088948787,0.507243935309973,0.31568572233173753,5936,1121
energy+spectral_flux+subband_sf_8,3,0.9614065180102916,0.1888477088948787,0.507243935309973,0.31568572233173753,5936,1121
energy+spectral_flux+superflux,3,0.9622641509433962,0.18357329842931938,0.4806937172774869,0.30832646331409724,6112,1122
energy+subband_sf_4+subband_sf_8,3,0.9614065180102916,0.1888477088948787,0.507243935309973,0.31568572233173753,5936,1121
energy+subband_sf_4+superflux,3,0.9622641509433962,0.18357329842931938,0.4806937172774869,0.30832646331409724,6112,1122
energy+subband_sf_8+superflux,3,0.9622641509433962,0.18357329842931938,0.4806937172774869,0.30832646331409724,6112,1122
hfc_mel+log_filtered_flux+spectral_flux,3,0.9734133790737565,0.16730542452830188,0.44575471698113206,0.28553459119496855,6784,1135
hfc_mel+log_filtered_flux+subband_sf_4,3,0.9734133790737565,0.16730542452830188,0.44575471698113206,0.28553459119496855,6784,1135
hfc_mel+log_filtered_flux+subband_sf_8,3,0.9734133790737565,0.16730542452830188,0.44575471698113206,0.28553459119496855,6784,1135
hfc_mel+log_filtered_flux+superflux,3,0.9742710120068611,0.1632183908045977,0.42399425287356324,0.27959635737140043,6960,1136
hfc_mel+spectral_flux+subband_sf_4,3,0.9631217838765008,0.17996794871794872,0.48862179487179486,0.3032676208479611,6240,1123
hfc_mel+spectral_flux+subband_sf_8,3,0.9631217838765008,0.17996794871794872,0.48862179487179486,0.3032676208479611,6240,1123
hfc_mel+spectral_flux+superflux,3,0.9648370497427101,0.1753428927680798,0.46384039900249374,0.2967554734898444,6416,1125
hfc_mel+subband_sf_4+subband_sf_8,3,0.9631217838765008,0.17996794871794872,0.48862179487179486,0.3032676208479611,6240,1123
hfc_mel+subband_sf_4+superflux,3,0.9648370497427101,0.1753428927680798,0.46384039900249374,0.2967554734898444,6416,1125
hfc_mel+subband_sf_8+superflux,3,0.9648370497427101,0.1753428927680798,0.46384039900249374,0.2967554734898444,6416,1125
log_filtered_flux+spectral_flux+subband_sf_4,3,0.9116638078902229,0.16455108359133128,0.4828173374613003,0.27878311041174936,6460,1063
log_filtered_flux+spectral_flux+subband_sf_8,3,0.9116638078902229,0.16455108359133128,0.4828173374613003,0.27878311041174936,6460,1063
log_filtered_flux+spectral_flux+superflux,3,0.9168096054888508,0.1610910186859554,0.4590114526823388,0.27403229941040763,6636,1069
log_filtered_flux+subband_sf_4+subband_sf_8,3,0.9116638078902229,0.16455108359133128,0.4828173374613003,0.27878311041174936,6460,1063
log_filtered_flux+subband_sf_4+superflux,3,0.9168096054888508,0.1610910186859554,0.4590114526823388,0.27403229941040763,6636,1069
log_filtered_flux+subband_sf_8+superflux,3,0.9168096054888508,0.1610910186859554,0.4590114526823388,0.27403229941040763,6636,1069
spectral_flux+subband_sf_4+subband_sf_8,3,0.8987993138936535,0.17714672075726842,0.5314401622718052,0.2959615927704038,5916,1048
spectral_flux+subband_sf_4+superflux,3,0.9073756432246999,0.1736703873933027,0.5041037426132633,0.2915403692477267,6092,1058
spectral_flux+subband_sf_8+superflux,3,0.9073756432246999,0.1736703873933027,0.5041037426132633,0.2915403692477267,6092,1058
